Series;Time;Value;
mysql_mysql.mean;2020-02-26T12:15:39+01:00;905.8;-1
mysql_mysql.mean;2020-02-26T12:15:39+01:00;910.4;-1
mysql_mysql.mean;2020-02-26T12:15:40+01:00;915;-1
mysql_mysql.mean;2020-02-26T12:15:40+01:00;919.6;-1
mysql_mysql.mean;2020-02-26T12:15:41+01:00;924.2;-1
mysql_mysql.mean;2020-02-26T12:15:41+01:00;928.8;-1
mysql_mysql.mean;2020-02-26T12:15:42+01:00;933.4;-1
mysql_mysql.mean;2020-02-26T12:15:42+01:00;938;-1
mysql_mysql.mean;2020-02-26T12:15:43+01:00;942.6;-1
mysql_mysql.mean;2020-02-26T12:15:43+01:00;947.2;-1
mysql_mysql.mean;2020-02-26T12:15:44+01:00;951.8;-1
mysql_mysql.mean;2020-02-26T12:15:44+01:00;956.4;-1
mysql_mysql.mean;2020-02-26T12:15:45+01:00;961;-1
mysql_mysql.mean;2020-02-26T12:15:45+01:00;965.6;-1
mysql_mysql.mean;2020-02-26T12:15:46+01:00;970.2;-1
mysql_mysql.mean;2020-02-26T12:15:46+01:00;974.8;-1
mysql_mysql.mean;2020-02-26T12:15:47+01:00;979.4;-1
mysql_mysql.mean;2020-02-26T12:15:47+01:00;984;-1
mysql_mysql.mean;2020-02-26T12:15:48+01:00;988.6;-1
mysql_mysql.mean;2020-02-26T12:15:48+01:00;993.2;-1
mysql_mysql.mean;2020-02-26T12:15:49+01:00;997.8;-1
mysql_mysql.mean;2020-02-26T12:15:49+01:00;1002.4;-1
mysql_mysql.mean;2020-02-26T12:15:50+01:00;1007;-1
mysql_mysql.mean;2020-02-26T12:15:50+01:00;1011.6;-1
mysql_mysql.mean;2020-02-26T12:15:51+01:00;1016.2;-1
mysql_mysql.mean;2020-02-26T12:15:51+01:00;1020.8;-1
mysql_mysql.mean;2020-02-26T12:15:52+01:00;1025.4;-1
mysql_mysql.mean;2020-02-26T12:15:52+01:00;1030;-1
mysql_mysql.mean;2020-02-26T12:15:53+01:00;1034.6;-1
mysql_mysql.mean;2020-02-26T12:15:53+01:00;1039.2;-1
mysql_mysql.mean;2020-02-26T12:15:54+01:00;1043.8;-1
mysql_mysql.mean;2020-02-26T12:15:54+01:00;1048.4;-1
mysql_mysql.mean;2020-02-26T12:15:55+01:00;1053;-1
mysql_mysql.mean;2020-02-26T12:15:55+01:00;1057.6;-1
mysql_mysql.mean;2020-02-26T12:15:56+01:00;1062.2;-1
mysql_mysql.mean;2020-02-26T12:15:56+01:00;1066.8;-1
mysql_mysql.mean;2020-02-26T12:15:57+01:00;1071.4;-1
mysql_mysql.mean;2020-02-26T12:15:57+01:00;1076;-1
mysql_mysql.mean;2020-02-26T12:15:58+01:00;1080.6;-1
mysql_mysql.mean;2020-02-26T12:15:58+01:00;1085.2;-1
mysql_mysql.mean;2020-02-26T12:15:59+01:00;1089.8;-1
mysql_mysql.mean;2020-02-26T12:15:59+01:00;1094.4;-1
mysql_mysql.mean;2020-02-26T12:16:00+01:00;1099;-1
mysql_mysql.mean;2020-02-26T12:16:00+01:00;1103.6;-1
mysql_mysql.mean;2020-02-26T12:16:01+01:00;1108.2;-1
mysql_mysql.mean;2020-02-26T12:16:01+01:00;1112.8;-1
mysql_mysql.mean;2020-02-26T12:16:02+01:00;1117.4;-1
mysql_mysql.mean;2020-02-26T12:16:02+01:00;1122;-1
mysql_mysql.mean;2020-02-26T12:16:03+01:00;1126.6;-1
mysql_mysql.mean;2020-02-26T12:16:03+01:00;1131.2;-1
mysql_mysql.mean;2020-02-26T12:16:04+01:00;1135.8;-1
mysql_mysql.mean;2020-02-26T12:16:04+01:00;1140.4;-1
mysql_mysql.mean;2020-02-26T12:16:05+01:00;1145;-1
mysql_mysql.mean;2020-02-26T12:16:05+01:00;1149.6;-1
mysql_mysql.mean;2020-02-26T12:16:06+01:00;1154.2;-1
mysql_mysql.mean;2020-02-26T12:16:06+01:00;1158.8;-1
mysql_mysql.mean;2020-02-26T12:16:07+01:00;1163.4;-1
mysql_mysql.mean;2020-02-26T12:16:07+01:00;1168;-1
mysql_mysql.mean;2020-02-26T12:16:08+01:00;1172.6;-1
mysql_mysql.mean;2020-02-26T12:16:08+01:00;1177.2;-1
mysql_mysql.mean;2020-02-26T12:16:09+01:00;1181.8;-1
mysql_mysql.mean;2020-02-26T12:16:09+01:00;1186.4;-1
mysql_mysql.mean;2020-02-26T12:16:10+01:00;1191;-1
mysql_mysql.mean;2020-02-26T12:16:10+01:00;1195.6;-1
mysql_mysql.mean;2020-02-26T12:16:11+01:00;1200.2;-1
mysql_mysql.mean;2020-02-26T12:16:11+01:00;1204.8;-1
mysql_mysql.mean;2020-02-26T12:16:12+01:00;1209.4;-1
mysql_mysql.mean;2020-02-26T12:16:12+01:00;1214;-1
mysql_mysql.mean;2020-02-26T12:16:13+01:00;1218.6;-1
mysql_mysql.mean;2020-02-26T12:16:13+01:00;1223.2;-1
mysql_mysql.mean;2020-02-26T12:16:14+01:00;1227.8;-1
mysql_mysql.mean;2020-02-26T12:16:14+01:00;1232.4;-1
mysql_mysql.mean;2020-02-26T12:16:15+01:00;1237;-1
mysql_mysql.mean;2020-02-26T12:16:15+01:00;1241.6;-1
mysql_mysql.mean;2020-02-26T12:16:16+01:00;1246.2;-1
mysql_mysql.mean;2020-02-26T12:16:16+01:00;1250.8;-1
mysql_mysql.mean;2020-02-26T12:16:17+01:00;1255.4;-1
mysql_mysql.mean;2020-02-26T12:16:17+01:00;1260;-1
mysql_mysql.mean;2020-02-26T12:16:18+01:00;1264.6;-1
mysql_mysql.mean;2020-02-26T12:16:18+01:00;1269.2;-1
mysql_mysql.mean;2020-02-26T12:16:19+01:00;1273.8;-1
mysql_mysql.mean;2020-02-26T12:16:19+01:00;1278.4;-1
mysql_mysql.mean;2020-02-26T12:16:20+01:00;1283;-1
mysql_mysql.mean;2020-02-26T12:16:20+01:00;1287.6;-1
mysql_mysql.mean;2020-02-26T12:16:21+01:00;1292.2;-1
mysql_mysql.mean;2020-02-26T12:16:21+01:00;1296.8;-1
mysql_mysql.mean;2020-02-26T12:16:22+01:00;1301.4;-1
mysql_mysql.mean;2020-02-26T12:16:22+01:00;1306;-1
mysql_mysql.mean;2020-02-26T12:16:23+01:00;1310.6;-1
mysql_mysql.mean;2020-02-26T12:16:23+01:00;1315.2;-1
mysql_mysql.mean;2020-02-26T12:16:24+01:00;1319.8;-1
mysql_mysql.mean;2020-02-26T12:16:24+01:00;1324.4;-1
mysql_mysql.mean;2020-02-26T12:16:25+01:00;1329;-1
mysql_mysql.mean;2020-02-26T12:16:25+01:00;1333.6;-1
mysql_mysql.mean;2020-02-26T12:16:26+01:00;1338.2;-1
mysql_mysql.mean;2020-02-26T12:16:26+01:00;1342.8;-1
mysql_mysql.mean;2020-02-26T12:16:27+01:00;1347.4;-1
mysql_mysql.mean;2020-02-26T12:16:27+01:00;1352;-1
mysql_mysql.mean;2020-02-26T12:16:28+01:00;1356.6;-1
mysql_mysql.mean;2020-02-26T12:16:28+01:00;1361.2;-1
